title,link,price,image_link,description,,Price in DKK,Price in CHF,Price in GBP,Price in AUD,Price in SED,Price in USD,Price in SGD,Price in EUR,Price in CAD,,,,material,Sleeves,Color,,,,,,,,,,availability,Necks
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-721,448,https://img.sonofatailor.com/images/customizer/product/Masala_O_Crew_Regular_NoPocket-4aab270c-f5af-4d6e-a914-9da213645298.jpg,"Short Sleeve T-Shirt, Masala, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Masala,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-746,448,https://img.sonofatailor.com/images/customizer/product/OceanStripes_O_Crew_Regular_NoPocket-57c4e45e-3f9a-4525-83a4-3d27c94413c8.jpg,"Short Sleeve T-Shirt, Ocean Stripes, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Ocean Stripes,,,,,,,,,,out of stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-747,448,https://img.sonofatailor.com/images/customizer/product/BeachStripes_O_Crew_Regular_NoPocket-a6068051-ee83-4b3f-977d-def3b9023ed2.jpg,"Short Sleeve T-Shirt, Beach Stripes, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Beach Stripes,,,,,,,,,,out of stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-1,448,https://img.sonofatailor.com/images/customizer/product/White_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, White, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,White,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-2,448,https://img.sonofatailor.com/images/customizer/product/Black_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Black, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Black,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-3,448,https://img.sonofatailor.com/images/customizer/product/DeepBlue_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Deep Blue, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Deep Blue,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-12,448,https://img.sonofatailor.com/images/customizer/product/White_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, White, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,White,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-13,448,https://img.sonofatailor.com/images/customizer/product/Black_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Black, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Black,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-14,448,https://img.sonofatailor.com/images/customizer/product/DeepBlue_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Deep Blue, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Deep Blue,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-25,448,https://img.sonofatailor.com/images/customizer/product/LightGrey_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Light Grey, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Light Grey,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-26,448,https://img.sonofatailor.com/images/customizer/product/LightGrey_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Light Grey, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Light Grey,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-27,448,https://img.sonofatailor.com/images/customizer/product/DarkGrey_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Dark Grey, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Dark Grey,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-28,448,https://img.sonofatailor.com/images/customizer/product/DarkGrey_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Dark Grey, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Dark Grey,,,,,,,,,,in stock,O-Neck Single Stitch
